context,answer,question
"Die erste urkundliche Siedlung im heutigen Newcastle war Pons Aelius, ein römisches Fort und eine Brücke über den Fluss Tyne. Sie erhielt den Familiennamen des römischen Kaisers Hadrian, der sie im 2. Jahrhundert n. Chr. gründete. Diese seltene Ehre deutet darauf hin, dass Hadrian während seiner Tour durch Großbritannien den Ort besucht und die Errichtung der Brücke veranlasst haben könnte. Zu diesem Zeitpunkt lag die geschätzte Bevölkerungszahl von Pons Aelius bei 2.000. Überreste vom Hadrianswall sind in Teilen Newcastles noch sichtbar, insbesondere entlang der West Road. Der Verlauf der römischen Mauer lässt sich nach Osten bis zur römischen Festung Segedunum in Wallsend – wörtlich: „Ende der Mauer“ – und bis zur Versorgungsanlage Arbeia in South Shields verfolgen. Die Ausdehnung des Hadrianswalls betrug 117 km und erstreckte sich über die Breite Großbritanniens; die Mauer umfasste den Vallum, einen großen rückwärtigen Graben mit parallelen Hügeln, und wurde nicht als Kampflinie für eine größere Invasion, sondern hauptsächlich zur Verteidigung errichtet, um unerwünschte Einwanderung und den Einfall der piktischen Stämme aus dem Norden zu verhindern.",2.000,Wie hoch war die geschätzte Bevölkerungszahl von Pons Aelius im 2. Jahrhundert?
"Die erste urkundliche Siedlung im heutigen Newcastle war Pons Aelius, ein römisches Fort und eine Brücke über den Fluss Tyne. Sie erhielt den Familiennamen des römischen Kaisers Hadrian, der sie im 2. Jahrhundert n. Chr. gründete. Diese seltene Ehre deutet darauf hin, dass Hadrian während seiner Tour durch Großbritannien den Ort besucht und die Errichtung der Brücke veranlasst haben könnte. Zu diesem Zeitpunkt lag die geschätzte Bevölkerungszahl von Pons Aelius bei 2.000. Überreste vom Hadrianswall sind in Teilen Newcastles noch sichtbar, insbesondere entlang der West Road. Der Verlauf der römischen Mauer lässt sich nach Osten bis zur römischen Festung Segedunum in Wallsend – wörtlich: „Ende der Mauer“ – und bis zur Versorgungsanlage Arbeia in South Shields verfolgen. Die Ausdehnung des Hadrianswalls betrug 117 km und erstreckte sich über die Breite Großbritanniens; die Mauer umfasste den Vallum, einen großen rückwärtigen Graben mit parallelen Hügeln, und wurde nicht als Kampflinie für eine größere Invasion, sondern hauptsächlich zur Verteidigung errichtet, um unerwünschte Einwanderung und den Einfall der piktischen Stämme aus dem Norden zu verhindern.",Hadrianswall,Von welcher Mauer sind noch heute an Orten rund um Newcastle Fragmente sichtbar?
"Die erste urkundliche Siedlung im heutigen Newcastle war Pons Aelius, ein römisches Fort und eine Brücke über den Fluss Tyne. Sie erhielt den Familiennamen des römischen Kaisers Hadrian, der sie im 2. Jahrhundert n. Chr. gründete. Diese seltene Ehre deutet darauf hin, dass Hadrian während seiner Tour durch Großbritannien den Ort besucht und die Errichtung der Brücke veranlasst haben könnte. Zu diesem Zeitpunkt lag die geschätzte Bevölkerungszahl von Pons Aelius bei 2.000. Überreste vom Hadrianswall sind in Teilen Newcastles noch sichtbar, insbesondere entlang der West Road. Der Verlauf der römischen Mauer lässt sich nach Osten bis zur römischen Festung Segedunum in Wallsend – wörtlich: „Ende der Mauer“ – und bis zur Versorgungsanlage Arbeia in South Shields verfolgen. Die Ausdehnung des Hadrianswalls betrug 117 km und erstreckte sich über die Breite Großbritanniens; die Mauer umfasste den Vallum, einen großen rückwärtigen Graben mit parallelen Hügeln, und wurde nicht als Kampflinie für eine größere Invasion, sondern hauptsächlich zur Verteidigung errichtet, um unerwünschte Einwanderung und den Einfall der piktischen Stämme aus dem Norden zu verhindern.",piktischen,Vor einer Eroberung durch welche Stämme aus dem Norden hatten die Römer Angst?
"Der Grainger-Markt ersetzte einen früheren Markt, der ursprünglich 1808 gebaut wurde und Metzgermarkt genannt wurde. Der Grainger-Markt selbst wurde 1835 eröffnet und war der erste Hallenmarkt Newcastles. Bei seiner Eröffnung 1835 galt er als einer der größten und schönsten Märkte Europas. Die Eröffnung wurde mit einem großen Abendessen gefeiert, an dem 2.000 Gäste teilnahmen. In der Laing-Kunstgalerie ist ein Bild dieser Veranstaltung zu finden. Mit Ausnahme des Holzdaches, das 1901 durch einen Brand zerstört und durch Gitterstahlbögen ersetzt wurde, befindet sich der Markt weitgehend im Originalzustand. Wie die meisten Gebäude in Grainger Town steht der Grainger-Markt seit 1954 bei der Organisation English Heritage unter Denkmalschutz.",Metzgermarkt,Welchen früheren Markt ersetzte der Grainger-Markt?
"Der Grainger-Markt ersetzte einen früheren Markt, der ursprünglich 1808 gebaut wurde und Metzgermarkt genannt wurde. Der Grainger-Markt selbst wurde 1835 eröffnet und war der erste Hallenmarkt Newcastles. Bei seiner Eröffnung 1835 galt er als einer der größten und schönsten Märkte Europas. Die Eröffnung wurde mit einem großen Abendessen gefeiert, an dem 2.000 Gäste teilnahmen. In der Laing-Kunstgalerie ist ein Bild dieser Veranstaltung zu finden. Mit Ausnahme des Holzdaches, das 1901 durch einen Brand zerstört und durch Gitterstahlbögen ersetzt wurde, befindet sich der Markt weitgehend im Originalzustand. Wie die meisten Gebäude in Grainger Town steht der Grainger-Markt seit 1954 bei der Organisation English Heritage unter Denkmalschutz.",1835,Wann wurde der erste Hallenmarkt in Newcastle eröffnet?
"Der Grainger-Markt ersetzte einen früheren Markt, der ursprünglich 1808 gebaut wurde und Metzgermarkt genannt wurde. Der Grainger-Markt selbst wurde 1835 eröffnet und war der erste Hallenmarkt Newcastles. Bei seiner Eröffnung 1835 galt er als einer der größten und schönsten Märkte Europas. Die Eröffnung wurde mit einem großen Abendessen gefeiert, an dem 2.000 Gäste teilnahmen. In der Laing-Kunstgalerie ist ein Bild dieser Veranstaltung zu finden. Mit Ausnahme des Holzdaches, das 1901 durch einen Brand zerstört und durch Gitterstahlbögen ersetzt wurde, befindet sich der Markt weitgehend im Originalzustand. Wie die meisten Gebäude in Grainger Town steht der Grainger-Markt seit 1954 bei der Organisation English Heritage unter Denkmalschutz.",2.000,Wie viele Gäste nahmen an dem Abendessen zur Eröffnung des Grainger-Marktes teil?
"Der Grainger-Markt ersetzte einen früheren Markt, der ursprünglich 1808 gebaut wurde und Metzgermarkt genannt wurde. Der Grainger-Markt selbst wurde 1835 eröffnet und war der erste Hallenmarkt Newcastles. Bei seiner Eröffnung 1835 galt er als einer der größten und schönsten Märkte Europas. Die Eröffnung wurde mit einem großen Abendessen gefeiert, an dem 2.000 Gäste teilnahmen. In der Laing-Kunstgalerie ist ein Bild dieser Veranstaltung zu finden. Mit Ausnahme des Holzdaches, das 1901 durch einen Brand zerstört und durch Gitterstahlbögen ersetzt wurde, befindet sich der Markt weitgehend im Originalzustand. Wie die meisten Gebäude in Grainger Town steht der Grainger-Markt seit 1954 bei der Organisation English Heritage unter Denkmalschutz.",ein Bild,In welcher Form wird die Eröffnung des Grainger-Marktes in der Laing-Kunstgalerie dokumentiert?
"Der Grainger-Markt ersetzte einen früheren Markt, der ursprünglich 1808 gebaut wurde und Metzgermarkt genannt wurde. Der Grainger-Markt selbst wurde 1835 eröffnet und war der erste Hallenmarkt Newcastles. Bei seiner Eröffnung 1835 galt er als einer der größten und schönsten Märkte Europas. Die Eröffnung wurde mit einem großen Abendessen gefeiert, an dem 2.000 Gäste teilnahmen. In der Laing-Kunstgalerie ist ein Bild dieser Veranstaltung zu finden. Mit Ausnahme des Holzdaches, das 1901 durch einen Brand zerstört und durch Gitterstahlbögen ersetzt wurde, befindet sich der Markt weitgehend im Originalzustand. Wie die meisten Gebäude in Grainger Town steht der Grainger-Markt seit 1954 bei der Organisation English Heritage unter Denkmalschutz.",English Heritage,Bei wem steht die Architektur des Grainger-Marktes seit 1954 unter Denkmalschutz?
"Lindisfarne sind eine Folk-Rock Gruppe mit einer starken Verbindung zur Region Tyneside. Ihr berühmtester Song, „Fog on the Tyne“ (1971), wurde 1990 auch von dem in Newcastle geborenen Ex-Profifußballer Paul Gascoigne gecovert. Die Gruppe Venom, die viele für die Begründer des Black Metal und äußerst einflussreich für die gesamte extreme Metal-Szene halten, wurde 1979 in Newcastle gegründet. Folk-Metal-Band Skyclad, die oft als die erste Folk-Metal-Band angesehen wird, gründete sich ebenfalls in Newcastle nach der Auflösung der von Martin Walkyier geführten Thrash-Metal-Band Sabbat. Andy Taylor, ehemaliger Leadgitarrist von Duran Duran, wurde 1961 in der Stadt geboren. Brian Johnson war Mitglied der lokalen Rockband Geordie, bevor er zum Leadsänger von AC/DC wurde.",Folk-Rock,Zu welchem Musikgenre wird Lindisfarne gezählt?
"Lindisfarne sind eine Folk-Rock Gruppe mit einer starken Verbindung zur Region Tyneside. Ihr berühmtester Song, „Fog on the Tyne“ (1971), wurde 1990 auch von dem in Newcastle geborenen Ex-Profifußballer Paul Gascoigne gecovert. Die Gruppe Venom, die viele für die Begründer des Black Metal und äußerst einflussreich für die gesamte extreme Metal-Szene halten, wurde 1979 in Newcastle gegründet. Folk-Metal-Band Skyclad, die oft als die erste Folk-Metal-Band angesehen wird, gründete sich ebenfalls in Newcastle nach der Auflösung der von Martin Walkyier geführten Thrash-Metal-Band Sabbat. Andy Taylor, ehemaliger Leadgitarrist von Duran Duran, wurde 1961 in der Stadt geboren. Brian Johnson war Mitglied der lokalen Rockband Geordie, bevor er zum Leadsänger von AC/DC wurde.",1971,In welchem Jahr wurde der Song „Fog on the Tyne“ veröffentlicht?
"Lindisfarne sind eine Folk-Rock Gruppe mit einer starken Verbindung zur Region Tyneside. Ihr berühmtester Song, „Fog on the Tyne“ (1971), wurde 1990 auch von dem in Newcastle geborenen Ex-Profifußballer Paul Gascoigne gecovert. Die Gruppe Venom, die viele für die Begründer des Black Metal und äußerst einflussreich für die gesamte extreme Metal-Szene halten, wurde 1979 in Newcastle gegründet. Folk-Metal-Band Skyclad, die oft als die erste Folk-Metal-Band angesehen wird, gründete sich ebenfalls in Newcastle nach der Auflösung der von Martin Walkyier geführten Thrash-Metal-Band Sabbat. Andy Taylor, ehemaliger Leadgitarrist von Duran Duran, wurde 1961 in der Stadt geboren. Brian Johnson war Mitglied der lokalen Rockband Geordie, bevor er zum Leadsänger von AC/DC wurde.",Venom,Welche Band halten viele für die erste Black-Metal-Gruppe?
"Lindisfarne sind eine Folk-Rock Gruppe mit einer starken Verbindung zur Region Tyneside. Ihr berühmtester Song, „Fog on the Tyne“ (1971), wurde 1990 auch von dem in Newcastle geborenen Ex-Profifußballer Paul Gascoigne gecovert. Die Gruppe Venom, die viele für die Begründer des Black Metal und äußerst einflussreich für die gesamte extreme Metal-Szene halten, wurde 1979 in Newcastle gegründet. Folk-Metal-Band Skyclad, die oft als die erste Folk-Metal-Band angesehen wird, gründete sich ebenfalls in Newcastle nach der Auflösung der von Martin Walkyier geführten Thrash-Metal-Band Sabbat. Andy Taylor, ehemaliger Leadgitarrist von Duran Duran, wurde 1961 in der Stadt geboren. Brian Johnson war Mitglied der lokalen Rockband Geordie, bevor er zum Leadsänger von AC/DC wurde.",Skyclad,Welche Band wird oft als die erste Folk-Metal-Gruppe angesehen?
"Lindisfarne sind eine Folk-Rock Gruppe mit einer starken Verbindung zur Region Tyneside. Ihr berühmtester Song, „Fog on the Tyne“ (1971), wurde 1990 auch von dem in Newcastle geborenen Ex-Profifußballer Paul Gascoigne gecovert. Die Gruppe Venom, die viele für die Begründer des Black Metal und äußerst einflussreich für die gesamte extreme Metal-Szene halten, wurde 1979 in Newcastle gegründet. Folk-Metal-Band Skyclad, die oft als die erste Folk-Metal-Band angesehen wird, gründete sich ebenfalls in Newcastle nach der Auflösung der von Martin Walkyier geführten Thrash-Metal-Band Sabbat. Andy Taylor, ehemaliger Leadgitarrist von Duran Duran, wurde 1961 in der Stadt geboren. Brian Johnson war Mitglied der lokalen Rockband Geordie, bevor er zum Leadsänger von AC/DC wurde.",Duran Duran,In welcher Gruppe war der in Newcastle geborene Andy Taylor früher Lead-Gitarrist?
"In der Stadt fungiert die Tyne and Wear Metro als öffentliches Verkehrsmittel, ein System von Vorort- und U-Bahnen, das einen Großteil der Tyne and Wear-Region abdeckt. Es wurde in fünf Phasen zwischen 1980 und 1984 eröffnet und war das erste Stadtbahnsystem Großbritanniens; zwei Erweiterungen wurden 1991 und 2002 fertiggestellt. Das System wurde aus einer Kombination bestehender und neu gebauter Gleise und Bahnhöfe entwickelt, wobei tiefliegende Tunnel durch das Stadtzentrum Newcastles gebaut wurden. Eine Brücke wurde über den Tyne zwischen den Städten Newcastle und Gateshead errichtet und 1981 von Queen Elizabeth II. eröffnet. Das von DB Regio im Auftrag von Nexus betriebene Verkehrsnetz bringt über 37 Millionen Passagiere pro Jahr bis hin zum Flughafen Newcastle, Tynemouth, South Shields sowie South Hylton in Sunderland. Im Jahr 2004 entwarf und baute die Firma Marconi das Mobilfunksystem für die U-Bahn. Das U-Bahn-System war das erste in Großbritannien, bei dem Mobilfunkantennen in den Tunneln installiert wurden.",Tyne and Wear Metro,Welche U-Bahnen decken einen Großteil von Tyne and Wear ab?
"In der Stadt fungiert die Tyne and Wear Metro als öffentliches Verkehrsmittel, ein System von Vorort- und U-Bahnen, das einen Großteil der Tyne and Wear-Region abdeckt. Es wurde in fünf Phasen zwischen 1980 und 1984 eröffnet und war das erste Stadtbahnsystem Großbritanniens; zwei Erweiterungen wurden 1991 und 2002 fertiggestellt. Das System wurde aus einer Kombination bestehender und neu gebauter Gleise und Bahnhöfe entwickelt, wobei tiefliegende Tunnel durch das Stadtzentrum Newcastles gebaut wurden. Eine Brücke wurde über den Tyne zwischen den Städten Newcastle und Gateshead errichtet und 1981 von Queen Elizabeth II. eröffnet. Das von DB Regio im Auftrag von Nexus betriebene Verkehrsnetz bringt über 37 Millionen Passagiere pro Jahr bis hin zum Flughafen Newcastle, Tynemouth, South Shields sowie South Hylton in Sunderland. Im Jahr 2004 entwarf und baute die Firma Marconi das Mobilfunksystem für die U-Bahn. Das U-Bahn-System war das erste in Großbritannien, bei dem Mobilfunkantennen in den Tunneln installiert wurden.",fünf,In wie vielen Phasen wurde die Metro zwischen 1980 und 1984 eröffnet?
"In der Stadt fungiert die Tyne and Wear Metro als öffentliches Verkehrsmittel, ein System von Vorort- und U-Bahnen, das einen Großteil der Tyne and Wear-Region abdeckt. Es wurde in fünf Phasen zwischen 1980 und 1984 eröffnet und war das erste Stadtbahnsystem Großbritanniens; zwei Erweiterungen wurden 1991 und 2002 fertiggestellt. Das System wurde aus einer Kombination bestehender und neu gebauter Gleise und Bahnhöfe entwickelt, wobei tiefliegende Tunnel durch das Stadtzentrum Newcastles gebaut wurden. Eine Brücke wurde über den Tyne zwischen den Städten Newcastle und Gateshead errichtet und 1981 von Queen Elizabeth II. eröffnet. Das von DB Regio im Auftrag von Nexus betriebene Verkehrsnetz bringt über 37 Millionen Passagiere pro Jahr bis hin zum Flughafen Newcastle, Tynemouth, South Shields sowie South Hylton in Sunderland. Im Jahr 2004 entwarf und baute die Firma Marconi das Mobilfunksystem für die U-Bahn. Das U-Bahn-System war das erste in Großbritannien, bei dem Mobilfunkantennen in den Tunneln installiert wurden.",tiefliegende,Welche Art von Tunneln wurden durch das Stadtzentrum von Newcastle gebaut?
"In der Stadt fungiert die Tyne and Wear Metro als öffentliches Verkehrsmittel, ein System von Vorort- und U-Bahnen, das einen Großteil der Tyne and Wear-Region abdeckt. Es wurde in fünf Phasen zwischen 1980 und 1984 eröffnet und war das erste Stadtbahnsystem Großbritanniens; zwei Erweiterungen wurden 1991 und 2002 fertiggestellt. Das System wurde aus einer Kombination bestehender und neu gebauter Gleise und Bahnhöfe entwickelt, wobei tiefliegende Tunnel durch das Stadtzentrum Newcastles gebaut wurden. Eine Brücke wurde über den Tyne zwischen den Städten Newcastle und Gateshead errichtet und 1981 von Queen Elizabeth II. eröffnet. Das von DB Regio im Auftrag von Nexus betriebene Verkehrsnetz bringt über 37 Millionen Passagiere pro Jahr bis hin zum Flughafen Newcastle, Tynemouth, South Shields sowie South Hylton in Sunderland. Im Jahr 2004 entwarf und baute die Firma Marconi das Mobilfunksystem für die U-Bahn. Das U-Bahn-System war das erste in Großbritannien, bei dem Mobilfunkantennen in den Tunneln installiert wurden.",Eine Brücke,Was hat Queen Elisabeth II. 1981 in Newcastle eröffnet?
"In der Stadt fungiert die Tyne and Wear Metro als öffentliches Verkehrsmittel, ein System von Vorort- und U-Bahnen, das einen Großteil der Tyne and Wear-Region abdeckt. Es wurde in fünf Phasen zwischen 1980 und 1984 eröffnet und war das erste Stadtbahnsystem Großbritanniens; zwei Erweiterungen wurden 1991 und 2002 fertiggestellt. Das System wurde aus einer Kombination bestehender und neu gebauter Gleise und Bahnhöfe entwickelt, wobei tiefliegende Tunnel durch das Stadtzentrum Newcastles gebaut wurden. Eine Brücke wurde über den Tyne zwischen den Städten Newcastle und Gateshead errichtet und 1981 von Queen Elizabeth II. eröffnet. Das von DB Regio im Auftrag von Nexus betriebene Verkehrsnetz bringt über 37 Millionen Passagiere pro Jahr bis hin zum Flughafen Newcastle, Tynemouth, South Shields sowie South Hylton in Sunderland. Im Jahr 2004 entwarf und baute die Firma Marconi das Mobilfunksystem für die U-Bahn. Das U-Bahn-System war das erste in Großbritannien, bei dem Mobilfunkantennen in den Tunneln installiert wurden.",über 37 Millionen,Wie viele Fahrgäste befördert das Schienennetz in Newcastle pro Jahr?
"Die Stadt hat zwei Universitäten – Newcastle University und Northumbria University. Die Newcastle University hat ihren Ursprung in der 1834 gegründeten Schule für Medizin und Chirurgie und trennte sich am 1. August 1963 von der Durham University, um die University of Newcastle upon Tyne zu gründen. Die Newcastle University ist heute eine der führenden internationalen Universitäten Großbritanniens. Sie gewann im Jahr 2000 die begehrte Auszeichnung der Sunday Times für die beste Universität des Jahres. Die Northumbria University hat ihren Ursprung in der 1969 gegründeten Fachhochschule Newcastle, die 1992 zur University of Northumbria in Newcastle wurde. Dies war Teil eines Prozesses in ganz Großbritannien, bei dem Fachhochschulen zu neuen Universitäten wurden. Die Northumbria University wurde 2005 im von der Sunday Times veröffentlichten Universitätsratgeber zur besten neuen Universität gewählt und erhielt von der IT-Zeitschrift „Computing“ den begehrten Unternehmenspreis als Organisation mit der besten IT-Ausstattung (in Großbritannien).",zwei,Wie viele Universitäten hat Newcastle?
"Die Stadt hat zwei Universitäten – Newcastle University und Northumbria University. Die Newcastle University hat ihren Ursprung in der 1834 gegründeten Schule für Medizin und Chirurgie und trennte sich am 1. August 1963 von der Durham University, um die University of Newcastle upon Tyne zu gründen. Die Newcastle University ist heute eine der führenden internationalen Universitäten Großbritanniens. Sie gewann im Jahr 2000 die begehrte Auszeichnung der Sunday Times für die beste Universität des Jahres. Die Northumbria University hat ihren Ursprung in der 1969 gegründeten Fachhochschule Newcastle, die 1992 zur University of Northumbria in Newcastle wurde. Dies war Teil eines Prozesses in ganz Großbritannien, bei dem Fachhochschulen zu neuen Universitäten wurden. Die Northumbria University wurde 2005 im von der Sunday Times veröffentlichten Universitätsratgeber zur besten neuen Universität gewählt und erhielt von der IT-Zeitschrift „Computing“ den begehrten Unternehmenspreis als Organisation mit der besten IT-Ausstattung (in Großbritannien).",Die Newcastle University,Welche Universität hat ihren Ursprung in einer Schule für Medizin und Chirurgie?
"Die Stadt hat zwei Universitäten – Newcastle University und Northumbria University. Die Newcastle University hat ihren Ursprung in der 1834 gegründeten Schule für Medizin und Chirurgie und trennte sich am 1. August 1963 von der Durham University, um die University of Newcastle upon Tyne zu gründen. Die Newcastle University ist heute eine der führenden internationalen Universitäten Großbritanniens. Sie gewann im Jahr 2000 die begehrte Auszeichnung der Sunday Times für die beste Universität des Jahres. Die Northumbria University hat ihren Ursprung in der 1969 gegründeten Fachhochschule Newcastle, die 1992 zur University of Northumbria in Newcastle wurde. Dies war Teil eines Prozesses in ganz Großbritannien, bei dem Fachhochschulen zu neuen Universitäten wurden. Die Northumbria University wurde 2005 im von der Sunday Times veröffentlichten Universitätsratgeber zur besten neuen Universität gewählt und erhielt von der IT-Zeitschrift „Computing“ den begehrten Unternehmenspreis als Organisation mit der besten IT-Ausstattung (in Großbritannien).",Fachhochschulen zu neuen Universitäten wurden,"Was geschah 1992 in einem Prozess, der in ganz Großbritannien umgesetzt wurde?"
"Die Stadt hat zwei Universitäten – Newcastle University und Northumbria University. Die Newcastle University hat ihren Ursprung in der 1834 gegründeten Schule für Medizin und Chirurgie und trennte sich am 1. August 1963 von der Durham University, um die University of Newcastle upon Tyne zu gründen. Die Newcastle University ist heute eine der führenden internationalen Universitäten Großbritanniens. Sie gewann im Jahr 2000 die begehrte Auszeichnung der Sunday Times für die beste Universität des Jahres. Die Northumbria University hat ihren Ursprung in der 1969 gegründeten Fachhochschule Newcastle, die 1992 zur University of Northumbria in Newcastle wurde. Dies war Teil eines Prozesses in ganz Großbritannien, bei dem Fachhochschulen zu neuen Universitäten wurden. Die Northumbria University wurde 2005 im von der Sunday Times veröffentlichten Universitätsratgeber zur besten neuen Universität gewählt und erhielt von der IT-Zeitschrift „Computing“ den begehrten Unternehmenspreis als Organisation mit der besten IT-Ausstattung (in Großbritannien).",Die Northumbria University,Welche Universität erhielt einen Preis als Organisation mit der besten IT-Ausstattung?
"Das Victoria and Albert Museum hat seinen Ursprung in der Great Exhibition 1851, an deren Planung Henry Cole, der erste Direktor des Museums, beteiligt war; zunächst war es als Museum für Design und Kunsthandwerk bekannt, das im Mai 1852 im Marlborough House erstmals eröffnet wurde, aber bis September in das Somerset House verlegt wurde. Zu diesem Zeitpunkt umfassten die Sammlungen sowohl die angewandte Kunst als auch die Wissenschaft. Mehrere Ausstellungsexponate wurden erworben, um den Kern der Sammlung zu bilden. Bis Februar 1854 wurden bereits Diskussionen über die Verlegung des Museums an den heutigen Standort geführt und es wurde in South Kensington Museum umbenannt. Im Jahr 1855 entwarf der deutsche Architekt Gottfried Semper auf Wunsch von Cole einen Entwurf für das Museum, der jedoch vom Handelsrat wegen zu teurer Kosten abgelehnt wurde. Auf dem Gelände befand sich das Brompton Park House; dies wurde um die ersten 1857 eröffneten Erfrischungsräume erweitert, wodurch das Museum das erste der Welt wurde, das eine solche Einrichtung bereitstellte.",Great Exhibition 1851,In welcher Weltausstellung hat das Victoria and Albert Museum seinen Ursprung?
"Das Victoria and Albert Museum hat seinen Ursprung in der Great Exhibition 1851, an deren Planung Henry Cole, der erste Direktor des Museums, beteiligt war; zunächst war es als Museum für Design und Kunsthandwerk bekannt, das im Mai 1852 im Marlborough House erstmals eröffnet wurde, aber bis September in das Somerset House verlegt wurde. Zu diesem Zeitpunkt umfassten die Sammlungen sowohl die angewandte Kunst als auch die Wissenschaft. Mehrere Ausstellungsexponate wurden erworben, um den Kern der Sammlung zu bilden. Bis Februar 1854 wurden bereits Diskussionen über die Verlegung des Museums an den heutigen Standort geführt und es wurde in South Kensington Museum umbenannt. Im Jahr 1855 entwarf der deutsche Architekt Gottfried Semper auf Wunsch von Cole einen Entwurf für das Museum, der jedoch vom Handelsrat wegen zu teurer Kosten abgelehnt wurde. Auf dem Gelände befand sich das Brompton Park House; dies wurde um die ersten 1857 eröffneten Erfrischungsräume erweitert, wodurch das Museum das erste der Welt wurde, das eine solche Einrichtung bereitstellte.",Henry Cole,Wer war der erste Direktor des Museums?
"Das Victoria and Albert Museum hat seinen Ursprung in der Great Exhibition 1851, an deren Planung Henry Cole, der erste Direktor des Museums, beteiligt war; zunächst war es als Museum für Design und Kunsthandwerk bekannt, das im Mai 1852 im Marlborough House erstmals eröffnet wurde, aber bis September in das Somerset House verlegt wurde. Zu diesem Zeitpunkt umfassten die Sammlungen sowohl die angewandte Kunst als auch die Wissenschaft. Mehrere Ausstellungsexponate wurden erworben, um den Kern der Sammlung zu bilden. Bis Februar 1854 wurden bereits Diskussionen über die Verlegung des Museums an den heutigen Standort geführt und es wurde in South Kensington Museum umbenannt. Im Jahr 1855 entwarf der deutsche Architekt Gottfried Semper auf Wunsch von Cole einen Entwurf für das Museum, der jedoch vom Handelsrat wegen zu teurer Kosten abgelehnt wurde. Auf dem Gelände befand sich das Brompton Park House; dies wurde um die ersten 1857 eröffneten Erfrischungsräume erweitert, wodurch das Museum das erste der Welt wurde, das eine solche Einrichtung bereitstellte.",Museum für Design und Kunsthandwerk,Wie hieß das Museum ursprünglich?
"Das Victoria and Albert Museum hat seinen Ursprung in der Great Exhibition 1851, an deren Planung Henry Cole, der erste Direktor des Museums, beteiligt war; zunächst war es als Museum für Design und Kunsthandwerk bekannt, das im Mai 1852 im Marlborough House erstmals eröffnet wurde, aber bis September in das Somerset House verlegt wurde. Zu diesem Zeitpunkt umfassten die Sammlungen sowohl die angewandte Kunst als auch die Wissenschaft. Mehrere Ausstellungsexponate wurden erworben, um den Kern der Sammlung zu bilden. Bis Februar 1854 wurden bereits Diskussionen über die Verlegung des Museums an den heutigen Standort geführt und es wurde in South Kensington Museum umbenannt. Im Jahr 1855 entwarf der deutsche Architekt Gottfried Semper auf Wunsch von Cole einen Entwurf für das Museum, der jedoch vom Handelsrat wegen zu teurer Kosten abgelehnt wurde. Auf dem Gelände befand sich das Brompton Park House; dies wurde um die ersten 1857 eröffneten Erfrischungsräume erweitert, wodurch das Museum das erste der Welt wurde, das eine solche Einrichtung bereitstellte.",Somerset House,Wohin wurde das Victoria and Albert Museum von seinem ursprünglichen Standort im Marlborough House verlegt?
"Das Victoria and Albert Museum hat seinen Ursprung in der Great Exhibition 1851, an deren Planung Henry Cole, der erste Direktor des Museums, beteiligt war; zunächst war es als Museum für Design und Kunsthandwerk bekannt, das im Mai 1852 im Marlborough House erstmals eröffnet wurde, aber bis September in das Somerset House verlegt wurde. Zu diesem Zeitpunkt umfassten die Sammlungen sowohl die angewandte Kunst als auch die Wissenschaft. Mehrere Ausstellungsexponate wurden erworben, um den Kern der Sammlung zu bilden. Bis Februar 1854 wurden bereits Diskussionen über die Verlegung des Museums an den heutigen Standort geführt und es wurde in South Kensington Museum umbenannt. Im Jahr 1855 entwarf der deutsche Architekt Gottfried Semper auf Wunsch von Cole einen Entwurf für das Museum, der jedoch vom Handelsrat wegen zu teurer Kosten abgelehnt wurde. Auf dem Gelände befand sich das Brompton Park House; dies wurde um die ersten 1857 eröffneten Erfrischungsräume erweitert, wodurch das Museum das erste der Welt wurde, das eine solche Einrichtung bereitstellte.",Gottfried Semper,"Welcher deutsche Architekt wurde beauftragt, einen Entwurf für das Museum zu erstellen?"
"Die fernöstlichen Sammlungen umfassen über 70.000 Kunstwerke aus den Ländern Ostasiens: nämlich China, Japan und Südkorea. Die T. T. Tsui Galerie der chinesischen Kunst wurde im Jahr 1991 eröffnet und stellt eine repräsentative Sammlung der rund 16.000 im Besitz des V&A befindlichen Gegenstände aus China aus, die vom 4. Jahrtausend v. Chr. bis heute datieren. Obwohl die meisten der ausgestellten Kunstwerke aus den Ming und Qing-Dynastien stammen, gibt es exquisite Beispiele von Objekten aus der Tang-Dynastie und früheren Perioden. Zu den bemerkenswerten Stücken gehören ein meterhoher Bronzekopf des Buddha aus der Zeit um 750 n. Chr., einer der ältesten Gegenstände, ein 2.000 Jahre alter Jadepferdekopf aus einer Bestattung, sowie andere Skulpturen, wie z. B. lebensgroße Grabwächter. Auch zu sehen sind klassische Beispiele der chinesischen Fertigung, darunter Lack, Seide, Porzellan, Jade und Cloisonné-Emaille. Aus dem 18. Jahrhundert stammen zwei große Ahnenporträts eines Mannes und einer Frau, die in Aquarell auf Seide gemalt sind. Es gibt einen einzigartigen chinesischen Lacktisch, der in den kaiserlichen Werkstätten während der Herrschaft des Kaisers Xuande in der Ming-Dynastie hergestellt wurde. Beispiele für Kleidung werden ebenfalls ausgestellt. Eines der größten Objekte ist ein Bett aus der Mitte des 17. Jahrhunderts. Darüber hinaus werden die Arbeiten zeitgenössischer chinesischer Designer präsentiert.",über 70.000,Ungefähr wie viele Kunstwerke sind in den fernöstlichen Sammlungen enthalten?
